n;nprocs;time
16;2;0.014421
32;2;0.104658
48;2;0.344760
64;2;0.815567
80;2;1.557228
96;2;2.712166
112;2;4.415803
128;2;10.824945
144;2;9.499136
160;2;13.651183
176;2;17.392333
192;2;23.864556
208;2;29.973335
224;2;38.282373
240;2;44.855822
256;2;88.009141
16;4;0.013578
32;4;0.083814
48;4;0.267833
64;4;0.638797
80;4;1.199699
96;4;2.086824
112;4;3.422723
128;4;9.406557
144;4;7.319466
160;4;10.616138
176;4;13.198820
192;4;18.361704
208;4;22.207324
224;4;29.189504
240;4;34.431077
256;4;76.176653
16;8;0.012985
32;8;0.077716
48;8;0.254879
64;8;0.587500
80;8;1.129197
96;8;1.940457
112;8;2.914323
128;8;8.543750
144;8;6.008760
160;8;8.850678
176;8;11.375344
192;8;16.234489
208;8;19.031054
224;8;25.613412
240;8;29.082747
256;8;69.346549
16;16;0.017091
32;16;0.073777
48;16;0.215472
64;16;0.508362
80;16;0.974257
96;16;1.710413
112;16;2.782371
128;16;7.873581
144;16;5.177800
160;16;7.603424
176;16;9.398727
192;16;13.523907
208;16;16.057982
224;16;21.588126
240;16;25.754468
256;16;64.354512
16;32;0.013825
32;32;0.074949
48;32;0.212969
64;32;0.505506
80;32;0.953135
96;32;1.543987
112;32;2.513023
128;32;7.755017
144;32;5.222236
160;32;7.771001
176;32;9.186833
192;32;13.225208
208;32;15.855511
224;32;20.697625
240;32;23.745795
256;32;63.476190
16;64;0.014896
32;64;0.064752
48;64;0.206467
64;64;0.483824
80;64;0.893955
96;64;1.504574
112;64;2.593415
128;64;7.565501
144;64;5.047239
160;64;7.479010
176;64;9.224232
192;64;12.665364
208;64;15.597805
224;64;21.201217
240;64;23.027654
256;64;62.075533
