n	threads	time
16	1	0.000046
16	2	0.000121
16	4	0.000147
16	8	0.000351
16	16	0.001321
16	32	0.003911
16	64	0.016626
32	1	0.000251
32	2	0.000369
32	4	0.000669
32	8	0.001529
32	16	0.004848
32	32	0.016858
32	64	0.065446
64	1	0.005241
64	2	0.004965
64	4	0.004214
64	8	0.008640
64	16	0.026325
64	32	0.073327
64	64	0.342392
128	1	0.175812
128	2	0.063738
128	4	0.039949
128	8	0.032040
128	16	0.096679
128	32	0.274141
128	64	1.036411
256	1	2.444225
256	2	1.238138
256	4	0.671103
256	8	0.340500
256	16	0.301597
256	32	0.742823
256	64	2.489828
